,Name,Age,Country,Role,Matches,Experience ( in Yrs),Runs,Strike_Rate,Wickets,Economy,Average,Team_Preference,Auction_Price_Simulated ( in Cr )
0,MS Dhoni,42,India,Wicketkeeper,350,20,12000,135.0,0,0.0,50.0,CSK,19.42
1,Sachin Tendulkar,45,India,Batter,400,24,18000,125.0,5,8.5,45.0,MI,20.0
2,Virat Kohli,36,India,Batter,300,16,13000,138.0,2,7.0,52.0,RCB,20.0
3,Rohit Sharma,37,India,Batter,280,17,14000,132.0,0,8.0,48.0,MI,20.0
4,Jasprit Bumrah,35,India,Bowler,196,7,2661,144.9,798,7.69,27.43,MI,16.09
5,Rahul Dravid,35,India,Batter,266,14,10359,106.0,8,6.64,30.65,RR,14.58
6,Sourav Ganguly,18,India,Batter,28,1,8574,120.9,8,7.84,30.19,KKR,12.08
7,Anil Kumble,22,India,Bowler,60,2,3127,103.4,424,6.33,30.23,RCB,11.4
8,Kapil Dev,21,India,Allrounder,27,1,2292,122.4,223,6.28,47.48,DC,9.07
9,Sunil Gavaskar,29,India,Batter,217,10,3711,125.9,14,6.7,40.73,MI,12.22
10,AB de Villiers,35,South Africa,Batter,119,4,9201,131.5,2,6.16,25.97,RCB,10.34
11,Chris Gayle,35,West Indies,Batter,242,10,12459,151.9,6,6.23,53.8,PBKS,16.45
12,Brian Lara,40,West Indies,Batter,47,3,13834,113.3,7,8.83,23.42,SRH,11.85
13,Ricky Ponting,42,Australia,Batter,170,10,6814,121.4,3,8.39,24.27,DC,7.38
14,Jacques Kallis,30,South Africa,Allrounder,133,5,6707,97.1,467,6.73,51.83,RCB,10.73
15,Yuvraj Singh,29,India,Allrounder,68,3,4410,134.8,147,5.91,30.91,PBKS,10.09
16,Gautam Gambhir,39,India,Batter,153,9,12980,127.8,5,7.82,26.47,KKR,13.85
17,Virender Sehwag,35,India,Batter,140,8,10573,141.5,12,9.39,52.88,PBKS,15.78
18,Harbhajan Singh,26,India,Bowler,103,4,1328,130.9,866,7.4,52.27,MI,15.24
19,Zaheer Khan,42,India,Bowler,37,2,3366,106.8,112,4.34,21.58,DC,5.3
20,R Ashwin,28,India,Bowler,139,7,271,118.3,296,5.24,29.5,RR,12.83
21,Bhuvneshwar Kumar,36,India,Bowler,219,11,2684,116.4,591,7.15,29.83,SRH,14.39
22,Mohammed Shami,30,India,Bowler,282,11,585,103.5,351,6.06,48.08,GT,13.27
